"deviceVendor","deviceProduct","deviceHostName","deviceAddress","_count"
"CISCO","CiscoRouter","","10.225.7.250","3"
"FireEye","CMS","NX","10.224.104.223","3"
"HPE","Aruba Mobility Controller","","10.225.177.162","3"
"HPE","Aruba Mobility Controller","","10.225.177.225","3"
"HPE","Aruba Mobility Controller","","10.225.180.29","3"
"IBM","Guardium","obtvm-grdcoll10","10.224.104.41","3"
"Microsoft","Microsoft Windows","CW9019-0096.odeabank.com.tr","10.225.236.54","3"
"Microsoft","Microsoft Windows","DSVD1250-01.odeabank.com.tr","10.225.44.144","3"
"Microsoft","Microsoft Windows","OBTVM-BGA2.odeabank.com.tr","10.224.21.102","3"
"Microsoft","Microsoft Windows","OBTVM-CMVIDX2.odeabank.com.tr","10.224.8.94","3"
"Microsoft","Microsoft Windows","OBTVM-DRNAP3.odeabank.com.tr","10.224.155.129","3"
"Microsoft","Microsoft Windows","OBTVM-TST32BL1.odeabank.com.tr","10.224.115.162","3"
"Microsoft","Microsoft Windows","OBTVM-TSTBTOM11.odeabank.com.tr","10.224.115.85","3"
"Microsoft","Microsoft Windows","OBTVM-TSTDTXAPP.odeabank.com.tr","10.224.59.70","3"
"Microsoft","Microsoft Windows","OBTVM-TSTEDF1.odeabank.com.tr","10.224.115.48","3"
"Microsoft","Microsoft Windows","OBTVM-TSTHNTW1.odeabank.com.tr","10.224.59.165","3"
"Microsoft","Microsoft Windows","OBTVM-TSTIBSA1.odeabank.com.tr","10.224.59.155","3"
"Microsoft","Microsoft Windows","OBTVM-TSTIXATM1.odeabank.com.tr","10.224.110.37","3"
"Microsoft","Microsoft Windows","OBTVM-TSTIXGW12.odeabank.com.tr","10.224.22.112","3"
"Microsoft","Microsoft Windows","OBTVM-TSTMSF1.odeabank.com.tr","10.224.59.80","3"
"Microsoft","Microsoft Windows","OBTVM-TSTMSF2.odeabank.com.tr","10.224.97.80","3"
"Microsoft","Microsoft Windows","OBTVM-TSTODCRS1.odeabank.com.tr","10.224.22.51","3"
"Microsoft","Microsoft Windows","OBTVM-TSTPCSM2.odeabank.com.tr","10.224.115.136","3"
"Microsoft","Microsoft Windows","OBTVM-TSTSMJIRA.odeabank.com.tr","10.224.22.142","3"
"Microsoft","Microsoft Windows","OBTVM-TSTSQLM2.odeabank.com.tr","10.224.122.29","3"
"Microsoft","Microsoft Windows","PCWC03-013.odeabank.com.tr","10.225.190.19","3"
"Microsoft","Microsoft Windows","PW2010-0011.odeabank.com.tr","10.225.6.46","3"
"Microsoft","Microsoft Windows","PW2030-0027.odeabank.com.tr","10.225.12.130","3"
"Microsoft","Microsoft Windows","PW2180-0016.odeabank.com.tr","10.225.33.85","3"
"Microsoft","Microsoft Windows","PW9019-0075.odeabank.com.tr","10.225.208.153","3"
"Microsoft","Microsoft Windows PowerShell","PW2200-0003.odeabank.com.tr","10.225.32.81","3"
"Microsoft","SQL Server","OBT-SESDB2.odeabank.com.tr","10.224.109.32","3"
"Microsoft","System or Application Event","CW9019-0080.odeabank.com.tr","10.225.237.99","3"
"Microsoft","System or Application Event","DSBA1290-01.odeabank.com.tr","10.225.51.221","3"
"Microsoft","System or Application Event","DSBA2050-02.odeabank.com.tr","10.225.9.136","3"
"Microsoft","System or Application Event","DSOLIVE-09.odeabank.com.tr","10.225.214.233","3"
"Microsoft","System or Application Event","DSTE2010-02.odeabank.com.tr","10.225.6.221","3"
"Microsoft","System or Application Event","DSZD1070-01.odeabank.com.tr","10.225.11.234","3"
"Microsoft","System or Application Event","DSZD2190-01.odeabank.com.tr","10.225.24.231","3"
"Microsoft","System or Application Event","L199-0006.odeabank.com.tr","10.225.225.37","3"
"Microsoft","System or Application Event","NW-LR0BQDP3.odeabank.com.tr","10.224.33.32","3"
"Microsoft","System or Application Event","NW-PF1V57BB.odeabank.com.tr","10.225.176.135","3"
"Microsoft","System or Application Event","NW-PF1V57TX.odeabank.com.tr","10.225.176.157","3"
"Microsoft","System or Application Event","NW-PF1V582B.odeabank.com.tr","10.225.225.143","3"
"Microsoft","System or Application Event","OBT-BCK02.odeabank.com.tr","10.224.8.57","3"
"Microsoft","System or Application Event","OBT-CLSANLZ1.odeabank.com.tr","10.224.60.75","3"
"Microsoft","System or Application Event","OBT-CLSTST1.odeabank.com.tr","10.224.115.75","3"
"Microsoft","System or Application Event","OBT-CSQL11.odeabank.com.tr","10.224.8.71","3"
"Microsoft","System or Application Event","OBT-DRCDBTST1.odeabank.com.tr","10.224.8.145","3"
"Microsoft","System or Application Event","OBT-DREMC1.odeabank.com.tr","10.224.130.85","3"
"Microsoft","System or Application Event","OBT-DRIXDMS01.odeabank.com.tr","10.224.144.32","3"
"Microsoft","System or Application Event","OBT-DRSESDB1.odeabank.com.tr","10.224.144.90","3"
"Microsoft","System or Application Event","OBT-DRSESREC1.odeabank.com.tr","10.224.170.61","3"
